,mean,median,min,quantile_20,quantile_25,quantile_44,quantile_60,quantile_75,quantile_88,max,std,skew,kurtosis,variation
volatility_bbh,22.88890572209101,8.547247724182228,0.1582748514599564,0.7165997831252613,0.8985530073064967,6.319831527009342,21.241192092356112,45.65491307426372,63.229815341928486,76.37299287116501,25.145571837530472,0.7551986938224303,-1.0074154712558179,632.2997830364056
volatility_bbl,21.035499906107194,8.14042882522584,0.1424475664481038,0.6219017065675617,0.8224160533550106,5.919361112411959,19.444073315744948,41.24718220857823,59.1577905737082,72.94143641218865,23.22509521795341,0.79201207732473,-0.9114025796129614,539.4050478830023
volatility_bbw,8.211104962757094,7.197820626508866,0.0,4.7599341861802,5.120246443857337,6.667064728453484,8.192553517830424,9.947224861274494,12.402746668124019,73.26654990675252,4.792321906471346,3.506018987532831,28.18301364738973,22.96634925524516
volatility_bbp,0.5540412308876161,0.5897256040028893,-0.5026156782839329,0.24227969958665566,0.30015424597011164,0.522949345108565,0.6863044988916045,0.8132282492795685,0.9278007004855365,1.467078346168826,0.3232642797156256,-0.2568339860368666,-0.7257595393202467,0.10449979454006224
volatility_bbhi,0.0644468313641246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.24555664011486028,3.548020628346335,10.590075348024294,0.060298063504499004
volatility_bbli,0.0469541199938622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.21154872761949617,4.283792328365171,16.3533860316899,0.044752864157427776
volatility_kcc,21.97922294831811,8.392462117476915,0.1524227402921117,0.6722404436845879,0.8625130056400222,6.1095311233972005,20.315563870905507,43.57400041240463,61.162129573959966,74.36199990335359,24.177256945424656,0.7695240474679671,-0.9680362553754502,584.5397534050848
volatility_kch,22.37680047356314,8.506499823664244,0.156308519537694,0.6868422798280149,0.8776000303527136,6.198400755710942,20.79300743568909,44.504032420894966,62.03178883568539,75.20321333464827,24.571066608774338,0.7606830158804265,-0.9891251582776475,603.7373142928253
volatility_kcl,21.581645423073077,8.278424411289587,0.1480798357205013,0.6558354049128559,0.8488684115083908,6.025863567639538,19.838927318953687,42.617672654912134,60.26535665340192,73.54138654999625,23.786891471404687,0.7792239978041839,-0.9450498697884839,565.816205872385
volatility_kcw,3.581790801676024,3.215175492883475,1.2121459226110065,2.492092119221778,2.6109798527875108,3.057443047918085,3.520058356282915,4.1200784275863525,5.023100612412951,23.31422107265113,1.6326041853652105,3.892253358242358,29.09408839853092,2.6653964260720024
volatility_kcp,0.5774977615695962,0.5875046969728257,-2.3672506778710583,0.08758308801079964,0.19402815218658273,0.4971242721410911,0.7383801103872938,0.984558409291626,1.2673400408553972,3.0313590678141,0.6051647209741179,-0.1419951230299905,0.35480692924345236,0.36622433951168193
volatility_kchi,0.24205922970692037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.42834639732198493,1.204540799967239,-0.5491657514113824,0.18348063609872375
volatility_kcli,0.1633420285407396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3696916229120065,1.8215702869456327,1.31832057622383,0.13667189605131322
